Country,,Year,DV_VA,DV_domestic_credit,DV_nonfinance,DV_nonfinanceplus,DV_nfc_ls,DV_hh_ls,DV_pvd_ls,IV_lending,IV_gov_exp,IV_trade_balance,IV_fdi_outflow,C_M2,C_m2plus,C_NFL,C_REER,C_cpi,C_cpiplus,C_fdi_inflow,C_gdp,C_gdpplus,DV_VAplus,DV_domestic_creditplus,DV_pvd_lsplus,DV_nfc_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_nonfinanceplus,IVlag1_DV_domestic_dreditplus,IVlag1_DV_pvd_lsplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_NFLplus,C_REERplus
Australia,Year,1.0,0.8419448504778564,0.9130876228761897,-0.44352879124738487,-0.19899240426353096,0.7840199069121623,0.9669913732195884,0.9611534995718032,0.30634086255182724,0.9433764585946047,-0.08621315547872983,-0.16524351750090302,0.8725735416140163,0.26680075534205966,,-0.15870245043361542,-0.3270806555978554,-0.02216751530342237,0.516924470716719,0.977490597173139,-0.3224217297135815,0.3163306698886137,0.3125924882403732,0.34504297351792723,0.20524408638134847,0.5332105330396705,0.3231705526731004,-0.24133771360094894,0.31705861288892745,0.35074113960412723,0.2056536445949828,0.5471597071735386,-0.06292206833068217,0.05771232268710494,-0.1903379275252505,-0.11275189815626248,-0.06368325835377864,0.04675577482480215,-0.21920284706606522,-0.11104450370636276,-0.05644301994576356,0.01609115547165366,-0.1997175435943126,-0.10051635826595509,,0.01955086571687628
Australia,DV_VA,0.8419448504778564,1.0,0.759219492930544,-0.3096926913659983,-0.06073366083802493,0.16109336704323707,0.7842570600372185,0.7076238985894218,0.3021320200265915,-0.30873067102942414,-0.23634900029332326,0.07934822065076497,0.786611317767792,-0.202501421099459,,0.2260036049147818,-0.5552948263691216,0.1491389014237338,0.2683760406542672,0.816800160335196,0.22675916410317626,-0.27382062312282973,-0.2012798577937027,0.19891802089978336,0.19927793134888955,-0.08438167236134535,-0.16726302232658563,-0.06505189591956476,-0.15319904037668108,0.13511008574226385,0.1208369223939974,0.03267976773384118,-0.22596221208573888,-0.23802292886017584,0.035774677326668884,-0.12981412542264406,-0.14158053376001853,-0.06013184618404817,0.09910776663001626,-0.2298027657393806,-0.06108988392408361,0.17830394229177357,0.05914893268261948,-0.22379562170022474,,-0.05569062835168765
Australia,DV_domestic_credit,0.9130876228761897,0.759219492930544,1.0,-0.44948095684347433,-0.1980960409812824,0.751655352077892,0.97384362090197,0.9594417325032573,0.25643571579943353,0.471861741974294,-0.10288260815878619,-0.17076736268336143,0.9914851727716851,0.23712086958507989,,0.036849485223847525,-0.4843460703385599,-0.06276636689383563,0.5468234236751915,0.969517934176334,-0.2748993943933805,-0.2767026123469331,0.16568770553101195,-0.15687400410568433,-0.2739317522770986,-0.165987351714406,-0.23546179036110565,-0.21452651849196075,0.20422622052202602,-0.04396117817565508,-0.2449831421628242,-0.08487868058529525,-0.2516815777358114,-0.15988454983953942,0.18031358349759036,-0.30318933196105474,-0.23413897122043267,-0.15693917705957644,0.1432449714191494,-0.3353505746835207,-0.22896296471586342,-0.15229193817936829,0.16791013892917475,-0.33681162584257235,,0.048815344050320036
Australia,DV_nonfinance,-0.44352879124738487,-0.3096926913659983,-0.44948095684347433,1.0,-0.12781668801901563,-0.5486819829651632,-0.4918080816450345,-0.5423886938346673,-0.34337967499175925,0.6303621479981331,0.5100978568326301,0.05749022957374691,-0.4291233048482391,-0.17010096858899973,,-0.3142188707509505,0.047910906527478876,-0.006140631551296177,-0.2659749405801685,-0.41910239781732933,0.1551993178689625,0.09818754608698703,-0.43388571665210535,-0.4902801466276671,-0.6537353023589566,0.06726086983424515,-0.04234994967606834,0.2572156379575989,-0.0874090800530856,-0.31400895112745386,-0.42411540578429663,0.10293899892282332,0.16408881889269164,-0.05120387835736764,-0.2032328322691963,-0.014424961829318888,-0.0006633194095855036,0.23188641303129212,-0.032228415874108594,0.33854394562630746,-0.24126532521849833,0.32744207362396616,-0.08598383801313346,0.0179392240471833,,0.17509690511940637
Australia,DV_nonfinanceplus,-0.19899240426353096,-0.06073366083802493,-0.1980960409812824,-0.12781668801901563,1.0,-0.031014487341598687,-0.1991344572183562,-0.1746982718405625,0.15360593984213033,-0.13761602752569513,0.13357334810256372,-0.03906983077096588,-0.20733478168450487,0.034510398609545696,,-0.4220688982129392,-0.18428010450345383,-0.13689148231738746,-0.12663386207818544,-0.2405590218409615,0.2157337560310572,0.22407647940681572,0.23036576700486378,0.1859385762837537,0.14196959473754847,0.17478045985280977,0.37569842680274323,-0.11658148770190388,0.05239784142557691,0.11047679014107102,-0.011124950823957144,0.28905356222077355,0.014772039881933943,-0.21881986925670854,0.15078297865780999,0.056687200849295294,0.09745635081395057,0.07923583986885767,-0.22585656908135207,-0.294757285849356,0.20218299573718818,0.003970665004152389,0.06728989615413157,0.09209902340972577,,-0.3026225737665316
Australia,DV_nfc_ls,0.7840199069121623,0.16109336704323707,0.751655352077892,-0.5486819829651632,-0.031014487341598687,1.0,0.6970596226627852,0.8425541573458063,0.323412841937503,0.21296496653649533,-0.25021639451175176,-0.03021641931028543,0.7252793822333086,0.43231619682173417,,-0.1307719609552895,-0.6404594191910575,0.002463026815498929,0.48198256267924694,0.7337331862315813,-0.10709474322157085,-0.01281694286094209,0.31330800004814996,-0.11914103744650417,-0.12862217134881912,-0.17054648064604577,-0.04753742913144175,-0.11798581762251328,0.40554119234165026,0.11525636601595071,0.04152311525607832,-0.1100589126794227,-0.19683564768951942,-0.04366706122435841,0.178097230558496,-0.20262668646132495,-0.12019526812829939,-0.12789043424456473,0.18813018434833773,-0.2618643940893192,-0.04844372270381825,-0.2780600480027351,0.12691621441977446,-0.21323775438038525,,0.08890460006115913
Australia,DV_hh_ls,0.9669913732195884,0.7842570600372185,0.97384362090197,-0.4918080816450345,-0.1991344572183562,0.6970596226627852,1.0,0.9735021165441071,0.3826426216582335,-0.12380269884588463,-0.19604981634180427,-0.14406351399009695,0.9747760475149636,0.14973881026575434,,0.24833176072619514,-0.6592343382310054,0.05117692246877797,0.5022327666883377,0.9840526765111494,-0.14482485785611665,-0.37376580628482375,0.05298167117461142,-0.16886595285994524,-0.2040587670542536,-0.08539204455395513,-0.36940673596047385,-0.22363829322692122,0.08432437148670144,-0.09896254071711173,-0.20578672223488872,-0.0013842018692760485,-0.18752724640800741,-0.03626200254232271,0.17943743018295383,-0.2634915740873529,-0.21051512696660324,-0.042704637902590936,0.12721791117795714,-0.28280165822877174,-0.20763996773919013,-0.12131724194190867,0.14611225353548654,-0.2589419206817768,,0.1714437887556393
Australia,DV_pvd_ls,0.9611534995718032,0.7076238985894218,0.9594417325032573,-0.5423886938346673,-0.1746982718405625,0.8425541573458063,0.9735021165441071,1.0,0.31655818278836306,0.6511868879343569,-0.22316117276446423,-0.1361159152433735,0.9262557501116508,0.29286180757882396,,-0.09037921842657702,-0.3087694220096872,-0.02424671794954362,0.5468731736797819,0.9854315238679805,-0.31135745909164864,-0.31772710956610145,0.23856412736046442,0.03716067280525727,-0.19533706748478066,-0.1179055884554996,-0.31521788372164583,-0.21104243538350478,0.2741167603448802,0.0881192847875513,-0.14686752127833058,-0.03395545613067987,-0.24625969432162298,-0.13953671097302642,0.19106690239202553,-0.2767192418309227,-0.2467080964857462,-0.15587216051526573,0.1474685289911313,-0.30202954499221724,-0.22311375269775438,-0.1725502710833977,0.14733756000244838,-0.27896155289293617,,0.05440878260551169
Australia,IV_lending,0.30634086255182724,0.3021320200265915,0.25643571579943353,-0.34337967499175925,0.15360593984213033,0.323412841937503,0.3826426216582335,0.31655818278836306,1.0,-0.3637635303156891,-0.34885508375830315,0.05930819230217772,0.28685028448248273,0.2910896119254114,,-0.37954234522031205,-0.37624327091020215,0.13443371630729187,0.17240518062756807,0.3168454044283897,0.289209592410869,-0.3909410635822282,0.22771343995970839,0.347682736069915,0.14299157509704716,0.4367653931440484,-0.32665253908290875,0.16944615125309115,0.11234272712601685,0.31008717212611825,0.09846157990665083,0.5462207698763202,0.03212380336671701,-0.3662155020173642,-0.1307656105807424,-0.026868993475747397,0.07009333003021091,-0.47797655654734805,-0.21573424220031617,0.011274633969213604,-0.09190553971512451,-0.4133795260970432,-0.09826863896770127,0.047458052027134594,,0.3324867687785079
Australia,IV_gov_exp,0.9433764585946047,-0.30873067102942414,0.471861741974294,0.6303621479981331,-0.13761602752569513,0.21296496653649533,-0.12380269884588463,0.6511868879343569,-0.3637635303156891,1.0,0.5609545947498659,-0.09126740039381959,0.3508239026426921,0.15188263411714326,,-0.3791598671349371,-0.00444237742479453,-0.0024081259988419468,0.08728193904782966,0.6534363833221369,-0.35856292757295677,0.37695420705500193,0.3194545853924435,0.3754495353049392,0.22905222432123915,0.602221703079272,0.39315262448840027,-0.028922813537445632,0.3393967005979369,0.3691909653137421,0.24046669986792774,0.6301909139763641,-0.04161795901373308,-0.0474919253175671,-0.2360644432123386,0.0685415493805575,-0.03899741640569249,-0.007689193892011259,-0.263528353691741,0.0712949335548599,-0.031218805630110025,0.011246459138625287,-0.2502881998569187,0.05774263797764634,,0.018106436647636143
